product,city,date,sales
Groceries,S001,01-01-2022,255
Toys,S001,01-01-2022,691
Electronics,S001,01-01-2022,444
Furniture,S001,01-01-2022,247
Clothing,S001,01-01-2022,1125
Groceries,S002,01-01-2022,1068
Clothing,S002,01-01-2022,433
Furniture,S002,01-01-2022,432
Toys,S002,01-01-2022,527
Electronics,S002,01-01-2022,514
Toys,S003,01-01-2022,527
Electronics,S003,01-01-2022,952
Groceries,S003,01-01-2022,728
Clothing,S003,01-01-2022,984
Furniture,S003,01-01-2022,17
Toys,S004,01-01-2022,271
Clothing,S004,01-01-2022,773
Groceries,S004,01-01-2022,578
Electronics,S004,01-01-2022,736
Furniture,S004,01-01-2022,147
Toys,S005,01-01-2022,394
Clothing,S005,01-01-2022,469
Electronics,S005,01-01-2022,794
Furniture,S005,01-01-2022,895
Groceries,S005,01-01-2022,483
Groceries,S001,01-02-2022,197
Clothing,S001,01-02-2022,740
Electronics,S001,01-02-2022,730
Furniture,S001,01-02-2022,299
Toys,S001,01-02-2022,127
Electronics,S002,01-02-2022,582
Furniture,S002,01-02-2022,252
Groceries,S002,01-02-2022,1327
Toys,S002,01-02-2022,1253
Clothing,S002,01-02-2022,254
Toys,S003,01-02-2022,650
Groceries,S003,01-02-2022,96
Furniture,S003,01-02-2022,571
Electronics,S003,01-02-2022,714
Clothing,S003,01-02-2022,205
Electronics,S004,01-02-2022,423
Clothing,S004,01-02-2022,451
Groceries,S004,01-02-2022,637
Toys,S004,01-02-2022,496
Furniture,S004,01-02-2022,232
Groceries,S005,01-02-2022,560
Furniture,S005,01-02-2022,754
Toys,S005,01-02-2022,1083
Clothing,S005,01-02-2022,676
Electronics,S005,01-02-2022,106
Electronics,S001,01-03-2022,266
Clothing,S001,01-03-2022,406
Toys,S001,01-03-2022,764
Groceries,S001,01-03-2022,562
Furniture,S001,01-03-2022,222
Toys,S002,01-03-2022,595
Electronics,S002,01-03-2022,357
Furniture,S002,01-03-2022,680
Groceries,S002,01-03-2022,1040
Clothing,S002,01-03-2022,411
Clothing,S003,01-03-2022,1104
Groceries,S003,01-03-2022,396
Electronics,S003,01-03-2022,1101
Furniture,S003,01-03-2022,229
Toys,S003,01-03-2022,766
Groceries,S004,01-03-2022,900
Clothing,S004,01-03-2022,509
Furniture,S004,01-03-2022,15
Electronics,S004,01-03-2022,1030
Toys,S004,01-03-2022,34
Groceries,S005,01-03-2022,611
Electronics,S005,01-03-2022,585
Clothing,S005,01-03-2022,94
Toys,S005,01-03-2022,1004
Groceries,S001,01-04-2022,700
Electronics,S001,01-04-2022,1032
Toys,S001,01-04-2022,605
Clothing,S001,01-04-2022,15
Clothing,S002,01-04-2022,370
Furniture,S002,01-04-2022,409
Toys,S002,01-04-2022,1076
Groceries,S002,01-04-2022,716
Electronics,S002,01-04-2022,382
Furniture,S003,01-04-2022,757
Electronics,S003,01-04-2022,1012
Toys,S003,01-04-2022,862
Clothing,S003,01-04-2022,288
Groceries,S003,01-04-2022,34
Furniture,S004,01-04-2022,858
Groceries,S004,01-04-2022,820
Toys,S004,01-04-2022,438
Clothing,S004,01-04-2022,1002
Furniture,S005,01-04-2022,498
Toys,S005,01-04-2022,1013
Clothing,S005,01-04-2022,605
Groceries,S005,01-04-2022,220
Electronics,S005,01-04-2022,372
Groceries,S001,01-05-2022,348
Toys,S001,01-05-2022,876
Electronics,S001,01-05-2022,233
Furniture,S001,01-05-2022,290
Furniture,S002,01-05-2022,555
Electronics,S002,01-05-2022,443
Clothing,S002,01-05-2022,381
Groceries,S002,01-05-2022,798
Toys,S002,01-05-2022,429
Electronics,S003,01-05-2022,344
Groceries,S003,01-05-2022,419
Furniture,S003,01-05-2022,858
Toys,S003,01-05-2022,416
Clothing,S003,01-05-2022,161
Toys,S004,01-05-2022,1350
Electronics,S004,01-05-2022,1030
Furniture,S004,01-05-2022,353
Clothing,S004,01-05-2022,332
Groceries,S004,01-05-2022,286
Toys,S005,01-05-2022,962
Electronics,S005,01-05-2022,605
Groceries,S005,01-05-2022,248
Clothing,S005,01-05-2022,513
Furniture,S005,01-05-2022,342
Electronics,S001,01-06-2022,274
Furniture,S001,01-06-2022,1027
Toys,S001,01-06-2022,237
Groceries,S001,01-06-2022,121
Clothing,S001,01-06-2022,699
Furniture,S002,01-06-2022,605
Toys,S002,01-06-2022,662
Clothing,S002,01-06-2022,496
Groceries,S002,01-06-2022,1097
Electronics,S002,01-06-2022,283
Furniture,S003,01-06-2022,1260
Electronics,S003,01-06-2022,104
Toys,S003,01-06-2022,677
Clothing,S003,01-06-2022,169
Groceries,S003,01-06-2022,316
Groceries,S004,01-06-2022,231
Toys,S004,01-06-2022,362
Furniture,S004,01-06-2022,1044
Electronics,S004,01-06-2022,339
Clothing,S004,01-06-2022,549
Clothing,S005,01-06-2022,389
Furniture,S005,01-06-2022,713
Electronics,S005,01-06-2022,226
Toys,S005,01-06-2022,473
Groceries,S005,01-06-2022,210
Furniture,S001,01-07-2022,503
Clothing,S001,01-07-2022,963
Electronics,S001,01-07-2022,641
Groceries,S001,01-07-2022,138
Toys,S001,01-07-2022,204
Toys,S002,01-07-2022,401
Furniture,S002,01-07-2022,613
Electronics,S002,01-07-2022,574
Groceries,S002,01-07-2022,555
Clothing,S002,01-07-2022,53
Clothing,S003,01-07-2022,107
Furniture,S003,01-07-2022,275
Toys,S003,01-07-2022,389
Electronics,S003,01-07-2022,780
Groceries,S003,01-07-2022,284
Toys,S004,01-07-2022,520
Electronics,S004,01-07-2022,49
Groceries,S004,01-07-2022,942
Clothing,S004,01-07-2022,410
Furniture,S004,01-07-2022,213
Groceries,S005,01-07-2022,468
Electronics,S005,01-07-2022,953
Furniture,S005,01-07-2022,1125
Clothing,S005,01-07-2022,201
Toys,S005,01-07-2022,465
Furniture,S001,01-08-2022,1022
Groceries,S001,01-08-2022,656
Electronics,S001,01-08-2022,602
Toys,S001,01-08-2022,137
Clothing,S001,01-08-2022,248
Groceries,S002,01-08-2022,1266
Toys,S002,01-08-2022,854
Electronics,S002,01-08-2022,349
Furniture,S002,01-08-2022,109
Clothing,S002,01-08-2022,423
Clothing,S003,01-08-2022,1193
Furniture,S003,01-08-2022,864
Electronics,S003,01-08-2022,367
Groceries,S003,01-08-2022,341
Toys,S003,01-08-2022,127
Clothing,S004,01-08-2022,120
Toys,S004,01-08-2022,301
Groceries,S004,01-08-2022,623
Furniture,S004,01-08-2022,920
Electronics,S004,01-08-2022,896
Toys,S005,01-08-2022,509
Clothing,S005,01-08-2022,563
Electronics,S005,01-08-2022,61
Groceries,S005,01-08-2022,976
Furniture,S005,01-08-2022,431
Electronics,S001,01-09-2022,1048
Clothing,S001,01-09-2022,688
Toys,S001,01-09-2022,1018
Groceries,S001,01-09-2022,440
Groceries,S002,01-09-2022,226
Toys,S002,01-09-2022,358
Electronics,S002,01-09-2022,1071
Clothing,S002,01-09-2022,1007
Furniture,S002,01-09-2022,543
Clothing,S003,01-09-2022,648
Groceries,S003,01-09-2022,720
Electronics,S003,01-09-2022,1248
Furniture,S003,01-09-2022,145
Toys,S003,01-09-2022,105
Clothing,S004,01-09-2022,799
Toys,S004,01-09-2022,1112
Electronics,S004,01-09-2022,476
Furniture,S004,01-09-2022,272
