product,city,date,sales,discount_pct,weather_condition,is_holiday,seasonality
Groceries,Delhi,01-01-2022,127,20,Rainy,0,Autumn
Toys,Delhi,01-01-2022,150,20,Sunny,0,Autumn
Toys,Delhi,01-01-2022,65,10,Sunny,1,Summer
Toys,Delhi,01-01-2022,61,10,Cloudy,1,Autumn
Groceries,Delhi,01-01-2022,128,10,Sunny,1,Winter
Clothing,Delhi,01-01-2022,312,5,Cloudy,0,Spring
Toys,Delhi,01-01-2022,28,0,Rainy,1,Winter
Clothing,Delhi,01-01-2022,24,20,Snowy,0,Spring
Toys,Delhi,01-01-2022,42,0,Cloudy,0,Spring
Clothing,Delhi,01-01-2022,12,0,Sunny,0,Spring
Clothing,Delhi,01-01-2022,369,15,Snowy,0,Winter
Toys,Delhi,01-01-2022,246,20,Sunny,0,Winter
Clothing,Delhi,01-01-2022,151,5,Cloudy,0,Autumn
Clothing,Delhi,01-01-2022,257,10,Cloudy,0,Winter
Toys,Delhi,01-01-2022,99,5,Cloudy,0,Spring
Groceries,Mumbai,01-01-2022,104,20,Sunny,1,Spring
Clothing,Mumbai,01-01-2022,141,10,Rainy,1,Winter
Toys,Mumbai,01-01-2022,63,0,Cloudy,0,Autumn
Toys,Mumbai,01-01-2022,156,20,Rainy,0,Autumn
Groceries,Mumbai,01-01-2022,393,5,Sunny,0,Summer
Clothing,Mumbai,01-01-2022,9,5,Rainy,1,Winter
Groceries,Mumbai,01-01-2022,13,0,Snowy,1,Autumn
Groceries,Mumbai,01-01-2022,25,5,Rainy,1,Winter
Clothing,Mumbai,01-01-2022,283,20,Cloudy,0,Spring
Toys,Mumbai,01-01-2022,129,15,Sunny,1,Winter
Toys,Mumbai,01-01-2022,63,20,Rainy,1,Spring
Groceries,Mumbai,01-01-2022,373,20,Cloudy,1,Winter
Groceries,Mumbai,01-01-2022,160,5,Cloudy,0,Summer
Toys,Mumbai,01-01-2022,15,5,Sunny,1,Winter
Toys,Mumbai,01-01-2022,101,0,Rainy,1,Spring
Toys,Bangalore,01-01-2022,147,5,Sunny,1,Summer
Groceries,Bangalore,01-01-2022,77,10,Sunny,1,Spring
Toys,Bangalore,01-01-2022,31,20,Rainy,1,Winter
Clothing,Bangalore,01-01-2022,325,20,Sunny,0,Winter
Groceries,Bangalore,01-01-2022,163,5,Rainy,1,Summer
Toys,Bangalore,01-01-2022,47,15,Cloudy,1,Spring
Groceries,Bangalore,01-01-2022,15,15,Snowy,1,Winter
Groceries,Bangalore,01-01-2022,126,5,Rainy,1,Summer
Toys,Bangalore,01-01-2022,232,0,Snowy,1,Winter
Clothing,Bangalore,01-01-2022,260,5,Snowy,0,Autumn
Groceries,Bangalore,01-01-2022,347,15,Rainy,0,Winter
Clothing,Bangalore,01-01-2022,150,5,Cloudy,1,Spring
Toys,Bangalore,01-01-2022,70,15,Snowy,1,Winter
Clothing,Bangalore,01-01-2022,249,15,Cloudy,1,Summer
Groceries,Delhi,01-02-2022,81,10,Cloudy,0,Spring
Clothing,Delhi,01-02-2022,163,15,Cloudy,0,Spring
